green	filename	Strain	Plate	Col	Row	PlateID
145	CL73.3.col3.row3.jpeg	CL73	3	col3	row3	CL73.3
140	CL73.3.col4.row1.jpeg	CL73	3	col4	row1	CL73.3
142	CL73.3.col4.row2.jpeg	CL73	3	col4	row2	CL73.3
150	CL73.3.col4.row3.jpeg	CL73	3	col4	row3	CL73.3
147	CL73.4.col1.row1.jpeg	CL73	4	col1	row1	CL73.4
148	CL73.4.col1.row2.jpeg	CL73	4	col1	row2	CL73.4
150	CL73.4.col1.row3.jpeg	CL73	4	col1	row3	CL73.4
NA	CL73.4.col2.row1.jpeg	CL73	4	col2	row1	CL73.4
147	CL73.4.col2.row2.jpeg	CL73	4	col2	row2	CL73.4
149	CL73.4.col2.row3.jpeg	CL73	4	col2	row3	CL73.4
145	CL73.4.col3.row1.jpeg	CL73	4	col3	row1	CL73.4
NA	CL73.4.col3.row2.jpeg	CL73	4	col3	row2	CL73.4
NA	CL73.4.col3.row3.jpeg	CL73	4	col3	row3	CL73.4
153	CL73.4.col4.row1.jpeg	CL73	4	col4	row1	CL73.4
142	CL73.4.col4.row2.jpeg	CL73	4	col4	row2	CL73.4
142	CL73.4.col4.row3.jpeg	CL73	4	col4	row3	CL73.4
